RUNID RA DEC
0_14_-1 14.108550 -1.2599110
101_310_0 310.83530 -0.7204974
103_24_0 24.725760 -0.6278777
106_31_0 31.211940 0.7876340
107_308_0 308.99190 -0.4620452
108_349_0 349.72480 0.2685940
109_355_0 355.60050 0.2412853
110_322_0 322.69040 -0.2851031
111_325_0 325.59310 0.4673135
112_37_-1 37.030330 -1.2238600
113_355_0 355.95080 0.3286224
116_40_0 40.799470 0.7736686
117_334_0 334.35880 0.6227828
118_36_-1 37.030330 -1.2238600
119_353_1 353.83560 1.0788480
11_328_0 328.63180 0.6589255
120_312_0 312.18250 0.3395853
121_338_0 338.30450 0.7313084
122_17_0 17.717960 0.4239155
123_317_-1 317.81470 -1.1958740
124_359_0 358.97280 -0.4109501
125_23_0 23.642920 0.6122594
126_12_0 12.690540 0.2130814
127_45_-1 45.928350 -1.0645940
128_16_-1 16.720690 -1.2335660
12_5_1 5.6392550 1.2962550
130_18_0 18.119470 0.3019077
131_16_0 16.843730 -0.6662006
132_33_0 33.652750 -0.7668034
133_16_0 16.523710 -0.9002861
134_332_0 332.82070 -0.3791089
136_327_0 327.27580 0.4184448
137_355_0 355.04560 -0.0015760
138_345_-1 345.46740 -1.0926340
139_317_-1 317.81470 -1.1958740
13_323_0 323.36970 -0.8146810
140_17_0 17.480070 0.0141095
141_40_0 40.711870 0.0212541
143_58_0 58.334040 0.0080403
144_30_1 30.069590 1.3546020
145_302_0 302.51120 -0.7217860
146_40_0 40.799470 0.7736686
147_341_0 342.04220 -0.6093264
148_302_0 302.51120 -0.7217860
149_27_1 27.176890 1.4641790
14_17_0 17.599470 -0.2783220
150_57_0 57.261770 -0.9201683
151_17_0 17.978380 -0.9490850
152_349_0 349.72480 0.2685940
153_349_-1 349.90720 -1.2616670
155_329_0 329.64430 -0.3688419
157_338_0 338.65350 0.1990997
158_40_0 40.153730 -0.9385092
159_1_0 1.2192020 -0.5687763
15_40_0 40.799470 0.7736686
160_358_0 358.99800 -0.3452113
161_40_0 40.799470 0.7736686
162_19_0 19.243470 0.0155237
163_33_0 33.652750 -0.7668034
164_24_0 24.725760 -0.6278777
165_40_0 40.799470 0.7736686
167_322_0 322.52340 0.0125876
168_9_0 9.807905 0.8750382
169_46_0 46.692840 -0.8025096
16_17_0 17.696920 -0.5655958
172_340_1 340.50160 1.0585820
173_328_0 328.63660 -0.0832211
174_20_0 20.595870 0.6637686
175_27_0 28.008390 0.2516218
176_344_0 344.81790 -0.7053549
177_50_-1 50.896390 -1.1488420
178_337_0 337.12810 0.2784830
179_57_-1 57.209140 -0.9733886
17_17_-1 17.628830 -1.1208280
180_27_0 27.757570 -0.5141555
181_355_0 355.06780 -0.8683234
182_6_-1 6.9593570 -1.1563740
183_343_0 343.58330 0.9330380
184_43_0 43.870660 -0.1717520
185_16_0 16.424860 -0.5190577
187_39_1 39.788630 1.1617500
188_340_0 340.61610 0.7034995
189_24_0 24.725760 -0.6278777
18_316_1 316.16910 1.1846800
191_53_0 53.427830 1.0205730
192_47_1 47.661370 1.3750760
193_328_0 328.25590 -0.6672633
194_9_-1 9.2592110 -1.2435590
195_25_0 25.675940 0.0833826
197_46_0 46.692840 -0.8025096
198_16_-1 16.174410 -1.1686050
199_47_1 47.816120 1.1746180
19_46_-1 46.046900 -1.0988520
1_21_0 21.342090 -0.0756872
200_13_0 13.565790 0.0785847
201_39_1 39.788630 1.1617500
202_44_-1 44.131870 -1.4284910
203_58_0 58.291420 0.0429652
204_16_0 16.523710 -0.9002861
205_5_0 5.4733280 0.1109831
206_20_0 20.410920 -0.6321319
207_322_0 322.84280 0.7403983
208_310_0 310.83530 -0.7204974
209_47_0 47.370870 0.3845886
20_11_0 11.446510 -0.8109869
210_354_0 353.99810 0.1202311
212_15_0 15.601640 -0.6160360
214_27_0 27.757570 -0.5141555
215_310_0 310.92090 0.0151164
216_16_0 16.424860 -0.5190577
217_29_0 29.234940 -0.2261561
218_341_0 341.10090 -0.1489777
219_38_0 38.964970 0.6570396
21_0_0 0.6693155 -0.3611752
221_38_0 38.384110 0.8798957
222_31_0 31.530270 -0.3159039
223_16_0 16.424860 -0.5190577
224_22_1 22.709620 1.4851900
225_18_-1 18.436600 -1.1703370
226_309_0 308.99190 -0.4620452
227_53_1 53.427830 1.0205730
228_43_0 43.347840 -0.2511810
229_337_0 337.12810 0.2784830
230_341_0 341.85000 0.0217385
231_13_0 13.565790 0.0785847
232_337_0 337.40690 -0.5791134
233_10_-1 10.701500 -1.4103670
234_2_0 2.8947440 -0.8662899
235_2_1 2.8832660 1.0140350
237_345_1 345.99700 1.0908640
238_319_0 319.59720 0.2109390
23_2_-1 2.6784430 -1.0428050
241_340_-1 340.12480 -1.1138130
242_42_0 42.404390 0.7902248
243_2_0 2.7254380 -0.5617285
244_16_0 16.347670 -0.2218121
245_357_-1 357.98930 -1.1238660
246_358_0 358.99800 -0.3452113
248_355_0 355.60050 0.2412853
249_47_0 47.643990 -0.3568750
24_338_0 338.92860 -0.3997028
250_4_1 4.5544900 1.3244480
251_50_-1 50.213560 -1.1015370
252_47_1 47.661370 1.3750760
253_36_0 36.906330 -0.2335039
254_17_0 17.360140 -0.8022880
255_29_1 29.081920 1.0434000
256_25_1 25.625540 1.3298290
257_23_0 23.872800 -0.7618996
258_29_0 29.519510 -0.0981591
259_13_0 13.213370 -0.5035621
25_322_0 322.86350 0.0121430
260_46_0 46.599050 -0.1471691
261_18_0 18.216600 -0.3075563
262_359_0 359.99130 8.1416880E-05
263_323_0 323.36970 -0.8146810
264_324_0 324.16670 0.6689174
265_334_-1 334.77140 -1.0539220
266_18_0 18.215750 -0.2705175
267_9_0 9.807905 0.8750382
269_41_1 41.576970 1.2216740
26_40_0 40.646630 -0.3703717
270_16_0 16.965850 -0.1280491
271_58_0 58.291420 0.0429652
272_39_0 40.017290 -5.0000560E-04
273_6_-1 6.9593570 -1.1563740
274_38_0 38.188080 0.4537802
275_355_0 355.95080 0.3286224
276_47_1 47.816120 1.1746180
278_39_-1 39.556250 -1.2989600
279_313_0 313.66600 0.7624063
280_30_0 30.340980 0.5499375
281_30_1 30.555450 1.3985250
282_37_-1 37.030330 -1.2238600
283_44_-1 44.131870 -1.4284910
284_57_0 57.261770 -0.9201683
285_336_0 336.66970 0.8797347
286_46_-1 45.928350 -1.0645940
287_39_-1 39.556250 -1.2989600
288_17_0 17.599470 -0.2783220
289_309_0 310.05120 -0.8665049
28_41_1 41.576970 1.2216740
290_339_-1 339.35840 -1.0321840
291_28_0 28.008390 0.2516218
292_323_0 323.09900 0.2662497
294_339_1 339.69880 1.1603840
295_54_1 54.531980 1.2967350
296_349_0 350.00490 0.0057263
297_338_-1 338.77410 -1.0791540
298_45_1 45.401420 1.2829120
299_30_0 29.991310 -0.0131866
29_29_0 29.991310 -0.0131866
2_322_0 321.94360 0.7953301
300_17_-1 17.628830 -1.1208280
301_1_0 1.2192020 -0.5687763
302_40_0 40.636700 0.9692847
303_1_0 1.7682100 0.9533643
304_341_0 341.85000 0.0217385
306_28_0 28.984970 0.4714336
307_16_1 16.987990 1.0570330
308_16_0 16.931380 -0.4096465
309_330_0 329.95750 0.3005196
30_40_0 40.711870 0.0212541
310_38_0 38.384110 0.8798957
311_40_1 40.260880 1.1420830
312_6_1 6.8203290 1.1553460
313_337_0 337.12810 0.2784830
314_30_0 30.340980 0.5499375
315_310_0 310.55010 0.5260888
316_29_1 29.647440 1.0604650
317_31_1 31.190730 1.3776210
318_30_0 30.593420 -0.1130563
319_16_-1 16.720690 -1.2335660
31_316_0 316.37670 0.4803795
320_33_0 33.652750 -0.7668034
321_57_-1 57.261770 -0.9201683
322_356_0 356.80560 0.2688074
323_0_0 0.5087748 0.5852711
324_23_0 23.872800 -0.7618996
325_5_0 5.3976500 -0.8587052
326_316_-1 316.71670 -1.0700360
327_18_-1 18.090970 -1.4216120
328_30_1 30.470200 1.2811480
329_317_-1 317.81470 -1.1958740
32_17_-1 17.615780 -1.3812830
330_311_0 311.80650 0.0468331
331_40_0 40.636700 0.9692847
332_28_0 28.756470 0.7753428
333_21_-1 21.467950 -1.3755010
334_57_-1 57.209140 -0.9733886
335_2_0 2.7254380 -0.5617285
336_57_-1 57.209140 -0.9733886
338_4_1 4.5544900 1.3244480
339_329_0 329.02480 -0.6167101
33_340_-1 340.12480 -1.1138130
340_45_-1 45.928350 -1.0645940
341_30_0 30.593420 -0.1130563
342_333_0 333.04310 0.4932734
343_29_0 29.647440 1.0604650
345_338_-1 338.77410 -1.0791540
347_29_0 28.984970 0.4714336
349_1_0 1.9117240 0.7810627
350_16_1 16.987990 1.0570330
351_28_0 28.756470 0.7753428
352_325_0 325.21960 0.4967639
353_19_0 19.566370 -0.8813798
354_337_0 337.31190 -0.2469124
355_49_0 49.606550 -0.2882298
357_39_0 39.700600 -0.7525562
358_331_0 331.19920 0.5323288
359_358_-1 357.98930 -1.1238660
35_19_0 19.360900 0.3410379
361_9_-1 9.2592110 -1.2435590
362_10_-1 10.379820 -1.3515030
363_322_0 322.34540 -0.2858358
364_352_0 352.62310 -0.6883664
366_328_0 328.63180 0.6589255
368_19_0 19.223180 0.7831774
369_314_1 314.67140 0.9923684
36_38_0 38.686580 0.8495165
370_331_0 331.67850 -0.5257847
371_55_0 54.997960 0.0103858
372_47_0 47.643990 -0.3568750
373_20_0 20.569920 0.9443502
374_29_0 29.519510 -0.0981591
375_302_0 302.08030 0.4007361
376_42_0 42.404390 0.7902248
377_30_1 30.069590 1.3546020
378_13_-1 13.461140 -1.4989850
379_323_0 323.36970 -0.8146810
380_313_0 313.87080 -0.3678985
381_17_0 17.091910 -0.6145786
382_15_1 15.732910 1.1201090
383_17_0 17.696920 -0.5655958
384_7_0 7.0558270 1.0330230
385_340_1 340.50160 1.0585820
386_5_0 5.3976500 -0.8587052
387_18_0 18.339060 -0.6904441
388_50_-1 50.213560 -1.1015370
389_339_0 339.35840 -1.0321840
38_29_0 29.234940 -0.2261561
390_49_1 49.342240 1.2448380
391_349_0 350.00490 0.0057263
392_31_0 31.129350 0.4104548
393_12_0 12.690540 0.2130814
394_45_0 45.256520 -0.5729334
395_340_0 340.58050 0.8027372
396_310_0 310.92090 0.0151164
397_341_0 341.85000 0.0217385
398_337_0 337.91280 0.2157553
399_337_0 337.31190 -0.2469124
3_38_0 38.444330 0.9599822
400_54_0 54.997960 0.0103858
401_3_0 3.3503620 -0.8055389
402_9_0 9.942506 -0.3979086
403_18_0 17.955450 -0.7138284
404_14_-1 14.108550 -1.2599110
405_20_0 20.457700 0.3933253
406_29_0 29.160710 -0.5172625
407_2_0 2.7254380 -0.5617285
408_31_0 31.129350 0.4104548
409_57_0 57.261770 -0.9201683
40_322_0 322.51330 -0.5832327
410_329_0 329.99740 -0.3735651
411_20_1 20.569920 0.9443502
412_21_-1 21.713650 -1.2504420
413_16_0 16.629620 -0.3754267
414_29_0 29.160710 -0.5172625
415_29_0 29.544020 -0.8559566
416_43_0 43.347840 -0.2511810
417_27_0 27.418300 0.2555615
418_31_0 31.530270 -0.3159039
419_355_0 355.74830 0.8913213
41_17_0 17.599470 -0.2783220
420_15_0 15.972260 -0.8506751
421_330_0 329.99740 -0.3735651
422_40_1 40.260880 1.1420830
424_29_0 29.544020 -0.8559566
425_20_0 20.410920 -0.6321319
426_328_-1 328.95960 -1.0870280
427_57_-1 57.261770 -0.9201683
428_58_0 58.465800 -0.0752635
42_27_1 27.176890 1.4641790
430_39_0 38.964970 0.6570396
431_334_-1 334.77140 -1.0539220
432_31_-1 31.637920 -1.3096080
434_46_0 46.596450 0.0656328
435_2_0 2.7254380 -0.5617285
436_339_0 339.85190 -0.2911144
437_349_0 349.37340 -0.2842746
438_5_0 4.9469460 0.5877957
439_21_1 21.755710 1.2667220
43_16_-1 16.720690 -1.2335660
441_57_-1 57.966850 -0.8751714
442_307_0 307.93680 0.9889364
443_340_0 340.61610 0.7034995
444_356_1 356.09080 1.3549790
445_9_0 9.807905 0.8750382
447_322_0 323.03220 -0.2876205
448_8_0 8.6513560 -0.0411425
44_337_0 337.13790 0.6986477
450_5_0 5.3976500 -0.8587052
451_21_-1 21.467950 -1.3755010
452_310_0 310.05120 -0.8665049
453_39_-1 39.556250 -1.2989600
454_335_1 335.08160 1.2162970
455_46_0 46.159070 0.7667906
457_30_-1 30.631940 -1.1041400
458_315_0 315.05620 0.8145421
459_13_0 13.213370 -0.5035621
45_52_1 52.775050 1.1607650
460_309_0 308.99190 -0.4620452
461_3_0 3.6602610 -0.7382833
462_18_0 18.926310 -0.8621914
